9530|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
8971|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
3710|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
0263|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
7604|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
2600|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
2588|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
2524|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
4178|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
2362|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
2963|21 OZ GENERIC SHK        |0.27|16|21 OZ GENERIC SHK        |1|25051035|TND_MIM
3966|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6584|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6578|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6629|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6627|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6427|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6425|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6391|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
4407|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
0762|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
0741|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
7145|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
7146|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
7144|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6554|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6116|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
6072|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
1963|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
1961|S COFFEE                 |1|24|S COFFEE                 |1|25150525|TND_MIM
