0679|SAUS MCMUFFIN HBROWN|78|SAUSAGE MCMUFFIN|1
0682|2 HOT&SPCY MC ML-LRG|125|30 OZ GENERIC DRK|1
0682|2 HOT&SPCY MC ML-LRG|4834|HOT&SPICY MCCHICKEN|2
0682|2 HOT&SPCY MC ML-LRG|6053|L FRENCH FRIES|1
0685|BURR/16OZ COFF|321|M COFFEE|1
0685|BURR/16OZ COFF|600|BURR NO CHS|1
0686|CHS BURR/16 OZ COFF|321|M COFFEE|1
0686|CHS BURR/16 OZ COFF|334|SAUSAGE BURRITO|1
0687|BURR NO SAUS/16OZ COFF|321|M COFFEE|1
0687|BURR NO SAUS/16OZ COFF|602|BURR NO SAUS|1
0688|2 TRPL CHEESE MEAL|21|21 OZ GENERIC DRK|1
0688|2 TRPL CHEESE MEAL|780|TRIPLE CHEESEBURGER|2
0688|2 TRPL CHEESE MEAL|8932|M FRENCH FRIES|1
0690|MCRIB 1 SIDE|10|MCRIB|1
0691|MCRIB 2 SIDE|10|MCRIB|1
0692|MCRIB 2 SIDE|10|MCRIB|1
0693|MCRIB 3 SIDE|10|MCRIB|1
0694|HOMESTYLE 1 SIDE|5077|HOMESTYLE BURGER|1
0695|HOMESTYLE 2 SIDE|5077|HOMESTYLE BURGER|1
0696|EGG MCMUFFIN&PARFAIT|46|EGG MCMUFFIN|1
0696|EGG MCMUFFIN&PARFAIT|4148|FRUIT N YGRT PARFAIT|1
0698|SEC MCGRIDDLE HBROWN|35|HASH BROWN|1
0698|SEC MCGRIDDLE HBROWN|9841|SAU EGG CH MCGRIDDLE|1
0701|20 MCNUGGETS-AP|21|21 OZ GENERIC DRK|1
0701|20 MCNUGGETS-AP|61|20 MCNUGGETS|1
0701|20 MCNUGGETS-AP|2794|APPLE SLICES|2
0714|4NUG/FRY HPY ML TOY|19|12 OZ SOFT DRK|1
0714|4NUG/FRY HPY ML TOY|483|4 MCNUGGETS|1
0714|4NUG/FRY HPY ML TOY|800|TOY-GENERIC HM|1
0714|4NUG/FRY HPY ML TOY|6050|S FRENCH FRIES|1
0725|4 CORNDG NUG/SF/HM|19|12 OZ SOFT DRK|1
0725|4 CORNDG NUG/SF/HM|724|4 CORNDG NUG|1
0725|4 CORNDG NUG/SF/HM|800|TOY-GENERIC HM|1
0725|4 CORNDG NUG/SF/HM|6050|S FRENCH FRIES|1
0726|2 BIG MAC|5|BIG MAC|2
0727|2 EGG MCMUFFIN|46|EGG MCMUFFIN|2
0728|BURR/HB/16 COFF|35|HASH BROWN|1
