PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
9006|PEPPER JACK CHEESE|Prjkch|9026|Pepper Jack Cheese|Prjkch
9035|CREAMY AVOCADO SAUCE|Ava Sc|9038|Creamy Avocado Sauce|Ava Sc
9036|PARM PEPPERCORN SCE|PP Sc|9039|Parm Peppercorn Sce|PP Sc
9037|SHAVED PARMESAN|ShvPm|9048|Shaved Parmesan|ShvPm
9051|GRILLED TOMATO|GrTom|9052|Grilled Tomato|GrTom
9054|BBQ SEASON PKT|BBQPkt|9056|BBQ Season Pkt|BBQPkt
9057|FIERY MAYONNAISE|FrMayo|9058|Fiery Mayonnaise|FrMayo
9083|SLICED CUCUMBERS|Cucmbr|9084|Sliced Cucumbers|Cucmbr
9098|RED ONION|Red O|9193|Red Onion|Red O
9185|RANCH SEASON PKT|ZRnPkt|9196|Ranch Season Pkt|ZRnPkt
9186|BUFFALO SEASON PKT|BufPkt|9197|Buffalo Season Pkt|BufPkt
9187|GARLIC PARM SESN PKT|GPmPkt|9198|Garlic Parm Sesn Pkt|GPmPkt
9241|3 CKN SELECT TENDERS|3cs|9390|3 Ckn Select Tenders|3cs
9300|NON MCD MENU ITEM|NONMCD|9322|CROISSANT|Crosnt
9300|NON MCD MENU ITEM|NONMCD|9323|MUFFIN|Muffin
9300|NON MCD MENU ITEM|NONMCD|9324|DANISH|Danish
9300|NON MCD MENU ITEM|NONMCD|9325|COOKIE|Cookie
9300|NON MCD MENU ITEM|NONMCD|9326|BAGEL|Bagel
9300|NON MCD MENU ITEM|NONMCD|9327|DONUT|Donut
9300|NON MCD MENU ITEM|NONMCD|9328|CAKE|Cake
9300|NON MCD MENU ITEM|NONMCD|9329|BAGEL W/CRM CHEESE|Bgl /W
9300|NON MCD MENU ITEM|NONMCD|9330|SCONE|Scone
9300|NON MCD MENU ITEM|NONMCD|9331|SML HOT TEA|S Htea
9300|NON MCD MENU ITEM|NONMCD|9332|MED HOT TEA|M Htea
9300|NON MCD MENU ITEM|NONMCD|9333|LRG HOT TEA|L Htea
9300|NON MCD MENU ITEM|NONMCD|9372|BTL BEVERAGE|B Bev
9300|NON MCD MENU ITEM|NONMCD|9373|ECLAIR|Eclair
9300|NON MCD MENU ITEM|NONMCD|9374|TORT|Tort
9300|NON MCD MENU ITEM|NONMCD|9379|CINNAMON STIX|Cin St
9300|NON MCD MENU ITEM|NONMCD|9384|BROWNIE|Brwne
9300|NON MCD MENU ITEM|NONMCD|9392|FIG SQUARE|Fig
9300|NON MCD MENU ITEM|NONMCD|9393|POPCORN|Popcrn
9300|NON MCD MENU ITEM|NONMCD|9395|CINNAMON BUN|Cin Bn
9491|HOMESTYLE MEAL|M Home|2626|Homestyle Meal|M Home
9560|SAUS BISCUIT HSHBRWN|Saubhb|9562|Saus Biscuit Hshbrwn|Saubhb
9839|BAC EGG CH MCGRIDDLE|BEC Gd|9906|Bac Egg Ch McGriddle|BEC Gd
9840|BAC EGG CH MCGRDL ML|BECgd+|9907|Bac Egg Ch McGrdl Ml|BECgd+
9841|SAU EGG CH MCGRIDDLE|Sec Gd|9908|Sau Egg Ch McGriddle|Sec Gd
9842|SAU EGG CH MCGRDL ML|Secgd+|9909|Sau Egg Ch McGrdl Ml|Secgd+
9887|PINEAPPLE W/MEAL|Pinaml|9898|Pineapple W/Meal|Pinaml
9895|JALAPENOS SLICED|Sl Jal|9903|Jalapenos Sliced|Sl Jal
9926|5 CHICKEN SELECTS|5cs|9391|5 Chicken Selects|5cs
9929|3 CKN SEL TND ML-LRG|L 3cs|9394|3 Ckn Sel Tnd Ml-Lrg|L 3cs
9932|5 CKN SLCTS ML-LRG|L 5cs|9396|5 Ckn Slcts Ml-Lrg|L 5cs
9961|C LIGHT LEMONADE|C Ltlm|9981|C Light Lemonade|C Ltlm
9962|S LIGHT LEMONADE|S Ltlm|7419|S Light Lemonade|S Ltlm
9963|M LIGHT LEMONADE|M Ltlm|7477|M Light Lemonade|M Ltlm
9964|L LIGHT LEMONADE|L Ltlm|6670|L Light Lemonade|L Ltlm
9965|XLG LIGHT LEMONADE|X LTLM|4142|XLG LIGHT LEMONADE|X LTLM
