PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
1043|BACON MCDOUBLE|Bcnmcd|6930|Bacon McDouble|Bcnmcd
1094|M CHERRY BRY CHILLER|M Cbch|1942|M Cherry Bry Chiller|M Cbch
1111|L RASPY SWEET TEA|L SRas|7155|L Raspy Sweet Tea|L SRas
1114|L RASPY UNSWEET TEA|L URsp|7151|L Raspy Unsweet Tea|L URsp
1117|SPORTS MCFLURRY|Sports|5444|Sports McFlurry|Sports
1147|SHARE MCBITES MEAL|M SHBT|2409|SHARE MCBITES MEAL|M SHBT
1179|MCTERI DELUXE ML-LRG|L Trki|5505|McTeri Deluxe Ml-Lrg|L Trki
1180|SHARE MCBITES ML-LRG|L SHBT|2430|SHARE MCBITES ML-LRG|L SHBT
1199|L CHERRY BRY CHILLER|L Cbch|3775|L Cherry Bry Chiller|L Cbch
1202|S ICED CRML COFFEE|S Icml|2031|S Iced Crml Coffee|S Icml
1207|M ICED CRML COFFEE|M Icml|1275|M Iced Crml Coffee|M Icml
1209|L ICED CRML COFFEE|L Icml|1220|L Iced Crml Coffee|L Icml
1212|M ICED COFFEE|M Icof|5115|M Iced Coffee|M Icof
1214|L ICED COFFEE|L Icof|5116|L Iced Coffee|L Icof
1216|M ICED FRVN COFFEE|M Ivan|5191|M Iced FrVn Coffee|M Ivan
1218|L ICED FRVN COFFEE|L Ivan|5192|L Iced FrVn Coffee|L Ivan
1219|M ICED HZLNT COFFEE|M Ihaz|5202|M Iced Hzlnt Coffee|M Ihaz
1226|FRUIT & WALNUT SALAD|F&Wsld|3216|Fruit & Walnut Salad|F&Wsld
